,0
0,0.01020408163265306
1,0.05
2,0.08163265306122448
3,0.027522935779816515
4,0.027586206896551724
5,0.033707865168539325
6,0.024193548387096774
7,0.0
8,0.024
9,0.03361344537815126
10,0.0
11,0.010309278350515464
12,0.018518518518518517
13,0.1
14,0.03821656050955414
15,0.028037383177570093
16,0.014388489208633094
17,0.03496503496503497
18,0.05142857142857143
19,0.030864197530864196
20,0.038834951456310676
21,0.046511627906976744
22,0.04065040650406504
23,0.030303030303030304
24,0.025
25,0.05063291139240506
26,0.021739130434782608
27,0.006622516556291391
28,0.0
29,0.0
30,0.038834951456310676
31,0.016666666666666666
32,0.010101010101010102
33,0.0
34,0.007462686567164179
35,0.031496062992125984
36,0.011299435028248588
37,0.017699115044247787
38,0.03125
39,0.020833333333333332
40,0.023255813953488372
41,0.021739130434782608
42,0.054945054945054944
43,0.0
44,0.0
45,0.0
46,0.006535947712418301
47,0.0
48,0.0
49,0.011904761904761904
50,0.0
51,0.0064516129032258064
52,0.0
53,0.0
54,0.006369426751592357
55,0.03398058252427184
56,0.008547008547008548
57,0.0
58,0.007352941176470588
59,0.006802721088435374
60,0.006896551724137931
61,0.009523809523809525
62,0.0
63,0.009900990099009901
64,0.009345794392523364
65,0.0
66,0.027777777777777776
67,0.0410958904109589
68,0.02531645569620253
69,0.04
70,0.0
71,0.061224489795918366
72,0.03875968992248062
73,0.03773584905660377
74,0.026845637583892617
75,0.03225806451612903
76,0.015873015873015872
77,0.0
78,0.039473684210526314
79,0.03048780487804878
80,0.03125
81,0.03225806451612903
82,0.06666666666666667
83,0.059113300492610835
84,0.050955414012738856
85,0.03508771929824561
86,0.022388059701492536
87,0.03524229074889868
88,0.04329004329004329
89,0.03535353535353535
90,0.031818181818181815
91,0.03982300884955752
92,0.02734375
93,0.024922118380062305
94,0.016181229773462782
95,0.028
96,0.034782608695652174
97,0.015267175572519083
98,0.02926829268292683
99,0.0196078431372549
100,0.029166666666666667
101,0.04044117647058824
102,0.04779411764705882
103,0.04201680672268908
104,0.01606425702811245
105,0.01606425702811245
106,0.044534412955465584
107,0.04498269896193772
108,0.03514376996805112
109,0.02962962962962963
110,0.02510460251046025
111,0.02694610778443114
112,0.03896103896103896
113,0.03361344537815126
114,0.03292181069958848
115,0.0449438202247191
116,0.04417670682730924
117,0.02912621359223301
118,0.028846153846153848
119,0.02284263959390863
120,0.023809523809523808
121,0.021108179419525065
122,0.017948717948717947
123,0.022277227722772276
124,0.022113022113022112
125,0.023404255319148935
126,0.021739130434782608
127,0.025540275049115914
128,0.022540983606557378
129,0.01904761904761905
130,0.01652892561983471
131,0.010438413361169102
132,0.017892644135188866
133,0.014842300556586271
134,0.0
135,0.020833333333333332
136,0.020361990950226245
137,0.029069767441860465
138,0.025936599423631124
139,0.028985507246376812
140,0.01524390243902439
141,0.018461538461538463
142,0.019830028328611898
143,0.01744186046511628
144,0.020588235294117647
145,0.03125
146,0.0121580547112462
147,0.015015015015015015
148,0.032679738562091505
149,0.018518518518518517
150,0.014492753623188406
151,0.011799410029498525
152,0.016181229773462782
153,0.010380622837370242
154,0.003389830508474576
155,0.016286644951140065
156,0.009375
157,0.010344827586206896
158,0.02280130293159609
